ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:45.586676Z,embb,uesimtun0,10.45.0.2,450085,9256,4408069086,3211259,1.534,0,1
2025-12-09T08:44:45.586676Z,urllc,uesimtun2,10.46.0.2,22622,476,32906,624,0.918,0,1
2025-12-09T08:44:45.586676Z,mmtc,uesimtun1,10.47.0.2,28597,629,2480300,41413,7.069,0,1
2025-12-09T08:44:45.836500Z,embb,uesimtun0,10.45.0.2,450792,9270,4411258081,3213590,4.317,0,1
2025-12-09T08:44:45.836500Z,urllc,uesimtun2,10.46.0.2,22787,479,33150,629,1.833,0,1
2025-12-09T08:44:45.836500Z,mmtc,uesimtun1,10.47.0.2,28854,634,2505844,41840,,1,1
2025-12-09T08:44:46.086378Z,embb,uesimtun0,10.45.0.2,451009,9274,4414453437,3215918,2.415,0,1
2025-12-09T08:44:46.086378Z,urllc,uesimtun2,10.46.0.2,23004,483,33434,635,1.624,0,1
2025-12-09T08:44:46.086378Z,mmtc,uesimtun1,10.47.0.2,28854,634,2505904,41841,71.929,0,1
2025-12-09T08:44:46.336588Z,embb,uesimtun0,10.45.0.2,452835,9312,4417642287,3218269,1.765,0,1
2025-12-09T08:44:46.336588Z,urllc,uesimtun2,10.46.0.2,23221,487,33718,641,1.872,0,1
2025-12-09T08:44:46.336588Z,mmtc,uesimtun1,10.47.0.2,29171,640,2523088,42129,87.967,0,1
2025-12-09T08:44:46.586444Z,embb,uesimtun0,10.45.0.2,453674,9329,4420830051,3220602,1.068,0,1
2025-12-09T08:44:46.586444Z,urllc,uesimtun2,10.46.0.2,23426,491,34022,647,1.292,0,1
2025-12-09T08:44:46.586444Z,mmtc,uesimtun1,10.47.0.2,29468,646,2523492,42137,5.618,0,1
2025-12-09T08:44:46.836810Z,embb,uesimtun0,10.45.0.2,454553,9347,4424026123,3222942,1.185,0,1
2025-12-09T08:44:46.836810Z,urllc,uesimtun2,10.46.0.2,23591,494,34266,652,4.097,0,1
2025-12-09T08:44:46.836810Z,mmtc,uesimtun1,10.47.0.2,29725,651,2549036,42564,82.398,0,1
2025-12-09T08:44:47.086366Z,embb,uesimtun0,10.45.0.2,454770,9351,4427213223,3225264,1.262,0,1
2025-12-09T08:44:47.086366Z,urllc,uesimtun2,10.46.0.2,23756,497,34510,657,1.956,0,1
2025-12-09T08:44:47.086366Z,mmtc,uesimtun1,10.47.0.2,29942,655,2549320,42570,7.522,0,1
2025-12-09T08:44:47.336913Z,embb,uesimtun0,10.45.0.2,456841,9394,4430416075,3227629,1.918,0,1
2025-12-09T08:44:47.336913Z,urllc,uesimtun2,10.46.0.2,23973,501,34754,662,1.491,0,1
2025-12-09T08:44:47.336913Z,mmtc,uesimtun1,10.47.0.2,30159,659,2566464,42857,,1,1
2025-12-09T08:44:47.586273Z,embb,uesimtun0,10.45.0.2,457576,9409,4433598243,3229956,2.247,0,1
2025-12-09T08:44:47.586273Z,urllc,uesimtun2,10.46.0.2,24138,504,34998,667,1.757,0,1
2025-12-09T08:44:47.586273Z,mmtc,uesimtun1,10.47.0.2,30219,660,2566564,42859,1.977,0,1
2025-12-09T08:44:47.836515Z,embb,uesimtun0,10.45.0.2,458375,9425,4436810723,3232306,1.964,0,1
2025-12-09T08:44:47.836515Z,urllc,uesimtun2,10.46.0.2,24303,507,35242,672,1.434,0,1
2025-12-09T08:44:47.836515Z,mmtc,uesimtun1,10.47.0.2,30436,664,2592048,43285,,1,1
2025-12-09T08:44:48.086333Z,embb,uesimtun0,10.45.0.2,458592,9429,4439979935,3234615,1.776,0,1
2025-12-09T08:44:48.086333Z,urllc,uesimtun2,10.46.0.2,24520,511,35526,678,1.115,0,1
2025-12-09T08:44:48.086333Z,mmtc,uesimtun1,10.47.0.2,30436,664,2592108,43286,6.970,0,1
